City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
813,Lincoln,US,84.87,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
815,Jutai,BR,76.82,broken clouds,-5.1833,-68.9,
816,Shiyan,CN,78.71,broken clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
821,Buzmeyin,TM,80.33,few clouds,38.0507,58.2056,
823,Manadhoo,MV,81.39,light rain,5.7667,73.3833,Vevu Guesthouse
826,Bubaque,GW,79.95,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
827,Natal,BR,79.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
829,Altea,ES,76.59,scattered clouds,38.5989,-0.0514,Albir Playa Hotel & Spa
832,Lazo,RU,76.24,clear sky,43.3817,133.9014,
833,Kokopo,PG,84.16,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
834,Ambagarh Chauki,IN,75.99,broken clouds,20.7833,80.7167,Hunesh kunjam home ....
836,Buhe,CN,80.56,overcast clouds,30.2876,112.2298,Jingzhou Hongmen Hotel
837,Clifton,US,87.51,clear sky,40.8584,-74.1638,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
840,Hurghada,EG,86.22,broken clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
841,Dicabisagan,PH,81.09,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
842,Pochutla,MX,87.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
846,Bari,IT,81.84,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
847,Lipari,IT,77.56,few clouds,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
852,Port Said,EG,80.24,clear sky,31.2565,32.2841,Aracan Hotel
853,Manokwari,ID,79.11,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
854,Ribas Do Rio Pardo,BR,75.22,broken clouds,-20.4431,-53.7592,Pousada Avenida
