City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Lukovetskiy,RU,64.2956,41.9211,64.38,64,49,2.37,scattered clouds
204,Imbituba,BR,-28.24,-48.6703,69.69,82,93,2.24,overcast clouds
205,Kerman,IR,30.2832,57.0788,78.66,27,40,4.61,scattered clouds
206,Saint Anthony,US,45.0205,-93.218,69.4,92,90,5.75,overcast clouds
207,Huarmey,PE,-10.0681,-78.1522,65.8,81,7,11.99,clear sky
208,Homer,US,59.6425,-151.5483,65.08,73,75,9.22,broken clouds
209,Port Lincoln,AU,-34.7333,135.8667,56.12,79,1,16.62,clear sky
210,Golden,US,39.7555,-105.2211,80.24,57,100,1.99,overcast clouds
211,Oktyabrskiy,RU,54.4815,53.471,54.36,70,1,0.76,clear sky
212,Biak,ID,-0.9131,122.8766,75.29,90,100,6.35,light rain
213,Sitka,US,57.0531,-135.33,57.09,72,90,4.61,light rain
214,Vestmannaeyjar,IS,63.4427,-20.2734,50.61,88,73,26.8,broken clouds
215,Feijo,BR,-8.1642,-70.3536,80.04,63,39,2.55,scattered clouds
216,Pimentel,PE,-6.8367,-79.9342,68.29,73,75,18.41,broken clouds
217,Pitimbu,BR,-7.4706,-34.8086,77.59,83,11,12.06,few clouds
218,Trofors,NO,65.5333,13.4063,56.55,80,97,4.16,overcast clouds
219,Tuy Hoa,VN,13.0833,109.3,77.11,90,62,4.18,light rain
220,Quibdo,CO,5.6947,-76.6611,78.01,93,92,3.0,overcast clouds
221,Fukue,JP,32.6881,128.8419,80.42,82,92,4.68,overcast clouds
222,Vila Velha,BR,-20.3297,-40.2925,71.55,88,40,3.44,scattered clouds
223,Angoche,MZ,-16.2325,39.9086,73.6,74,15,10.18,few clouds
224,Taiyuan,CN,37.8694,112.5603,76.86,78,12,4.47,mist
225,Maragogi,BR,-9.0122,-35.2225,74.64,89,8,9.1,clear sky
226,Hellvik,NO,59.9156,5.781,63.77,87,47,1.14,scattered clouds
227,Khasan,RU,42.4308,130.6434,71.26,99,97,5.26,overcast clouds
228,Tshikapa,CD,-6.4167,20.8,68.88,26,24,1.25,few clouds
229,Duku,NG,11.2361,4.9073,78.51,75,74,4.27,broken clouds
230,Bath,GB,51.3779,-2.3591,64.96,81,52,3.13,broken clouds
231,Rio Grande,BR,-32.035,-52.0986,59.95,98,100,6.51,moderate rain
232,Tucuma,BR,-0.1833,-50.05,76.28,91,25,8.1,scattered clouds
233,Pokhara,NP,28.2333,83.9833,72.16,90,100,1.61,overcast clouds
234,Ternate,ID,0.8,127.4,77.67,88,100,4.79,heavy intensity rain
235,Ola,RU,59.5833,151.2833,62.08,73,99,5.26,overcast clouds
236,Tual,ID,-5.6667,132.75,80.62,84,100,20.31,overcast clouds
237,Kety,PL,49.8821,19.2233,70.92,81,95,5.06,moderate rain
238,Rockhampton,AU,-23.3833,150.5,66.09,88,40,2.3,scattered clouds
239,Naze,JP,28.3667,129.4833,81.52,81,100,7.54,overcast clouds
240,Malakal,SS,9.5334,31.6605,72.59,92,100,5.03,overcast clouds
241,Mar Del Plata,AR,-38.0023,-57.5575,51.13,71,0,8.01,clear sky
242,Hami,CN,42.8,93.45,78.96,40,100,12.84,overcast clouds
243,Isla Vista,US,34.4133,-119.861,88.68,55,20,5.75,fog
244,Monroe,US,43.1501,-77.6831,82.78,73,40,8.05,scattered clouds
245,Bukachacha,RU,52.9833,116.9167,61.84,89,88,2.71,overcast clouds
246,Verkhoyansk,RU,67.5447,133.385,53.22,53,71,8.05,broken clouds
247,Lenoir City,US,35.7973,-84.256,83.7,81,68,6.67,broken clouds
248,Hannibal,US,39.7084,-91.3585,87.62,78,98,8.32,overcast clouds
249,Kahului,US,20.8947,-156.47,87.82,67,40,25.32,scattered clouds
